min_x,min_y,max_x,max_y
-111.05254574930352,32.06233602492571,-111.01044703786843,32.109868768376565
-111.01044703786843,32.06233602492571,-110.97124476967178,32.109868768376565
-110.97124476967178,32.06233602492571,-110.92824941917306,32.109868768376565
-110.92824941917306,32.06233602492571,-110.89119488802594,32.109868768376565
-110.89119488802594,32.06233602492571,-110.8502537758564,32.109868768376565
-110.8502537758564,32.06233602492571,-110.8043616948538,32.109868768376565
-110.8043616948538,32.06233602492571,-110.75974695807511,32.109868768376565
-110.75974695807511,32.06233602492571,-110.7226375564343,32.109868768376565
-111.05254574930352,32.109868768376565,-111.00335790957341,32.15954767761045
-111.00335790957341,32.109868768376565,-110.95090290132676,32.15954767761045
-110.95090290132676,32.109868768376565,-110.90936642351797,32.15954767761045
-110.90936642351797,32.109868768376565,-110.8607786363207,32.15954767761045
-110.8607786363207,32.109868768376565,-110.81096175817927,32.15954767761045
-110.81096175817927,32.109868768376565,-110.7639675801019,32.15954767761045
-110.7639675801019,32.109868768376565,-110.72263755643428,32.15954767761045
-111.05254574930352,32.15954767761045,-110.99831796321351,32.20797913089614
-110.99831796321351,32.15954767761045,-110.95261451393175,32.20797913089614
-110.95261451393175,32.15954767761045,-110.90402048744099,32.20797913089614
-110.90402048744099,32.15954767761045,-110.86076950216146,32.20797913089614
-110.86076950216146,32.15954767761045,-110.81735035583502,32.20797913089614
-110.81735035583502,32.15954767761045,-110.7747572184188,32.20797913089614
-110.7747572184188,32.15954767761045,-110.72263755643428,32.20797913089614
-111.05254574930352,32.20797913089614,-111.0126000438265,32.25166291514465
-111.0126000438265,32.20797913089614,-110.95892893160078,32.25166291514465
-110.95892893160078,32.20797913089614,-110.91254808661017,32.25166291514465
-110.91254808661017,32.20797913089614,-110.86037641938391,32.25166291514465
-110.86037641938391,32.20797913089614,-110.81199139928985,32.25166291514465
-110.81199139928985,32.20797913089614,-110.76499604080728,32.25166291514465
-110.76499604080728,32.20797913089614,-110.7226375564343,32.25166291514465
-111.05254574930352,32.25166291514465,-111.01489797510727,32.29195695653163
-111.01489797510727,32.25166291514465,-110.97324233243747,32.29195695653163
-110.97324233243747,32.25166291514465,-110.9212509708903,32.29195695653163
-110.9212509708903,32.25166291514465,-110.88232644534557,32.29195695653163
-110.88232644534557,32.25166291514465,-110.83980240841016,32.29195695653163
-110.83980240841016,32.25166291514465,-110.79204111768793,32.29195695653163
-110.79204111768793,32.25166291514465,-110.74358607687795,32.29195695653163
-110.74358607687795,32.25166291514465,-110.72263755643428,32.29195695653163
-111.05254574930352,32.29195695653163,-111.01118491391367,32.32006865632446
-111.01118491391367,32.29195695653163,-110.96053100479165,32.32006865632446
-110.96053100479165,32.29195695653163,-110.92094135483181,32.32006865632446
-110.92094135483181,32.29195695653163,-110.87205074455424,32.32006865632446
-110.87205074455424,32.29195695653163,-110.81985147819121,32.32006865632446
-110.81985147819121,32.29195695653163,-110.77087899046373,32.32006865632446
-110.77087899046373,32.29195695653163,-110.7316280676648,32.32006865632446
-110.7316280676648,32.29195695653163,-110.72263755643426,32.32006865632446
